Title,Description,Labels,Project
Database Setup & Seeding,"Prepare Postgres 17 schema, seed data, and initial registry entries.",db,"Pattern Factory — Phase 1 Build"
- Verify Postgres 17 schema loaded (all tables + FKs + triggers.),,, 
- Insert seed data: 3 episodes / 3 posts / 3 guests / 10 patterns.,,,
- Manually populate pattern_registry with 2–3 initial SQL views.,,,
- Test joins + full-text search queries in psql.,,,
Backend (API + Services),"Implement minimal backend routes for registry and view retrieval.",backend,"Pattern Factory — Phase 1 Build"
- Implement GET /api/patterns/registry → return pattern list.,,,
- Implement GET /api/patterns/view/:name → return table rows.,,,
- Stub POST /api/patterns/rule for future NL→SQL agent.,,,
- Add system log helper for insert and query events.,,,
- Confirm CORS + JSON responses for SvelteKit frontend.,,,
Frontend (SvelteKit UI),"Create sparse patterns-first UI with sidebar, table viewer, and detail panel.",frontend,"Pattern Factory — Phase 1 Build"
- Create /patterns route as default view.,,,
- Sidebar component: fetch pattern list from registry API.,,,
- Table viewer component: display selected pattern data.,,,
- Detail panel component: description + links (guest/org/episode/post).,,,
- Verify sidebar auto-updates when registry changes.,,,
Prompt & Rule Execution Pipeline,"Wire up prompt hierarchy and rule→SQL execution.",ai,"Pattern Factory — Phase 1 Build"
- Add /backend/prompts/PROTOCOL|DATA|RULES/ folders + loader.,,,
- Implement basic rule→SQL function (manual prompt run).,,,
- On execution, create materialized view pattern_<rulename>.,,,
- Insert entry into pattern_registry with rule SQL + metadata.,,,
- Validate new rule appears instantly in UI sidebar.,,,
Testing & Demo Data,"Ensure reproducibility and demo readiness.",testing,"Pattern Factory — Phase 1 Build"
- Create seed.sql and reset.sql scripts for fast reloads.,,,
- Verify 3 sample rules produce correct tables in DB.,,,
- Run through end-to-end demo: add rule → see sidebar → open table.,,,
- Record short Loom demo for internal reference.,,,
Milestone Review,"Confirm end-to-end loop works and tag first release.",management,"Pattern Factory — Phase 1 Build"
- Confirm 'patterns visible and clickable' loop complete.,,,
- Tag repo commit v0.1 (Phase 1 complete).,,,
- Write brief dev notes on next steps (ingestion agents).,,,
